Criterion,Model_name,MAE,RMSE,MBE,Correlation,QWK,Accuracy_±0.5,Accuracy_±1.0,Exact_Match,n_samples
TR,microsoft/Phi-3-mini-128k-instruct,1.333,1.673,1.267,0.405,0.139,0.333,0.467,0.167,30
CC,microsoft/Phi-3-mini-128k-instruct,1.533,1.839,1.367,0.358,0.161,0.233,0.433,0.067,30
LR,microsoft/Phi-3-mini-128k-instruct,1.633,1.906,1.567,0.45,0.163,0.233,0.367,0.1,30
GRA,microsoft/Phi-3-mini-128k-instruct,1.717,1.947,1.583,0.393,0.105,0.133,0.367,0.033,30
Overall,microsoft/Phi-3-mini-128k-instruct,1.45,1.749,1.35,0.418,0.131,0.3,0.433,0.1,30
TR,unsloth/Llama-3.2-3B-Instruct-bnb-4bit,1.4,1.703,1.3,0.352,0.152,0.267,0.5,0.133,30
CC,unsloth/Llama-3.2-3B-Instruct-bnb-4bit,1.533,1.844,1.367,0.365,0.203,0.267,0.467,0.033,30
LR,unsloth/Llama-3.2-3B-Instruct-bnb-4bit,1.417,1.739,1.25,0.301,0.203,0.267,0.4,0.2,30
GRA,unsloth/Llama-3.2-3B-Instruct-bnb-4bit,1.75,2.035,1.65,0.291,0.099,0.233,0.367,0.033,30
Overall,unsloth/Llama-3.2-3B-Instruct-bnb-4bit,1.433,1.708,1.267,0.341,0.154,0.333,0.433,0.033,30
TR,Qwen/Qwen2.5-3B-Instruct,1.217,1.519,1.05,0.323,0.073,0.333,0.533,0.233,30
CC,Qwen/Qwen2.5-3B-Instruct,1.483,1.81,1.25,-0.03,0.001,0.3,0.433,0.133,30
LR,Qwen/Qwen2.5-3B-Instruct,1.517,1.782,1.317,0.208,0.028,0.233,0.467,0.1,30
GRA,Qwen/Qwen2.5-3B-Instruct,1.5,1.77,1.333,0.222,0.039,0.2,0.467,0.133,30
Overall,Qwen/Qwen2.5-3B-Instruct,1.367,1.638,1.133,0.005,0.021,0.367,0.467,0.067,30
TR,Qwen/Qwen2.5-7B-Instruct,1.533,1.871,1.433,-0.08,0.02,0.4,0.467,0.033,30
CC,Qwen/Qwen2.5-7B-Instruct,1.317,1.599,1.05,0.302,0.132,0.367,0.467,0.1,30
LR,Qwen/Qwen2.5-7B-Instruct,1.733,2.045,1.667,0.219,0.06,0.333,0.333,0.067,30
GRA,Qwen/Qwen2.5-7B-Instruct,1.683,1.998,1.617,0.245,0.056,0.333,0.367,0.067,30
Overall,Qwen/Qwen2.5-7B-Instruct,1.45,1.846,1.417,0.156,0.053,0.367,0.467,0.233,30
